,All income levels,Number,Standard error (19),Percent,Standard error (19),Number,Standard error (19),Percent,Standard error (19),State Factors,A Parameter,B Parameter
United States,301041,39829,426,13.2,0.1,53805,482,17.9,0.2,1,-0.000018,5282
Alabama,4716,675,57,14.3,1.2,873,63,18.5,1.3,1.05,-0.001204,5282
Alaska,672,55,7,8.2,1,77,8,11.4,1.2,0.18,-0.001433,5282
Arizona,6529,1172,79,18,1.2,1463,86,22.4,1.3,1.23,-0.001002,5282
Arkansas,2822,431,36,15.3,1.3,593,41,21,1.5,0.68,-0.001275,5282
California,36637,5344,174,14.6,0.5,7196,195,19.6,0.5,1.25,-0.000181,5282
Colorado,4908,541,55,11,1.1,748,63,15.2,1.3,1.2,-0.00129,5282
Connecticut,3433,276,34,8.1,1,395,40,11.5,1.2,0.88,-0.001348,5282
Delaware,861,82,9,9.6,1.1,131,11,15.2,1.3,0.22,-0.001343,5282
District of Columbia,590,98,9,16.5,1.5,127,10,21.5,1.6,0.18,-0.001631,5282
Florida,18022,2370,110,13.1,0.6,3366,127,18.7,0.7,1.12,-0.000328,5282
Georgia,9541,1477,84,15.5,0.9,1867,93,19.6,1,1.08,-0.000597,5282
Hawaii,1255,125,13,9.9,1,179,15,14.3,1.2,0.29,-0.001221,5282
Idaho,1515,185,18,12.2,1.2,277,21,18.3,1.4,0.36,-0.001254,5282
Illinois,12687,1564,90,12.3,0.7,2055,101,16.2,0.8,1.13,-0.000468,5282
Indiana,6288,901,66,14.3,1.1,1150,73,18.3,1.2,1.08,-0.000905,5282
Iowa,2986,285,32,9.5,1.1,408,38,13.7,1.3,0.77,-0.001371,5282
Kansas,2716,346,34,12.7,1.3,510,40,18.8,1.5,0.73,-0.001399,5282
Kentucky,4246,724,58,17.1,1.4,938,64,22.1,1.5,1.05,-0.001317,5282
Louisiana,4326,788,60,18.2,1.4,1055,67,24.4,1.5,1.05,-0.001278,5282
Maine,1317,158,17,12,1.3,208,19,15.8,1.4,0.39,-0.001583,5282
Maryland,5528,481,51,8.7,0.9,682,60,12.3,1.1,1.13,-0.001076,5282
Massachusetts,6420,727,60,11.3,0.9,934,67,14.6,1,1.06,-0.000872,5282
Michigan,9806,1273,80,13,0.8,1690,90,17.2,0.9,1.09,-0.000585,5282
Minnesota,5120,506,51,9.9,1,668,57,13.1,1.1,1.07,-0.001092,5282
Mississippi,2900,525,40,18.1,1.4,774,46,26.7,1.6,0.71,-0.001301,5282
Missouri,5861,780,63,13.3,1.1,1023,70,17.5,1.2,1.11,-0.001007,5282
Montana,973,125,12,12.9,1.2,177,14,18.2,1.4,0.24,-0.001323,5282
Nebraska,1774,188,20,10.6,1.1,262,23,14.8,1.3,0.46,-0.00138,5282
Nevada,2581,278,30,10.8,1.1,388,34,15,1.3,0.67,-0.001363,5282
New Hampshire,1300,91,12,7,0.9,124,14,9.6,1.1,0.34,-0.001378,5282
New Jersey,8515,787,65,9.2,0.8,1074,75,12.6,0.9,1.12,-0.000689,5282
New Mexico,1977,381,31,19.3,1.6,509,34,25.7,1.7,0.58,-0.001554,5282
New York,19309,2734,120,14.2,0.6,3585,134,18.6,0.7,1.17,-0.000321,5282
North Carolina,9234,1285,80,13.9,0.9,1764,91,19.1,1,1.11,-0.000643,5282
North Dakota,625,74,7,11.8,1.2,98,8,15.7,1.3,0.16,-0.001348,5282
Ohio,11386,1557,88,13.7,0.8,2035,98,17.9,0.9,1.09,-0.000509,5282
Oklahoma,3550,484,45,13.6,1.3,662,51,18.6,1.4,0.91,-0.001344,5282
Oregon,3806,403,44,10.6,1.2,605,52,15.9,1.4,1.01,-0.001413,5282
Pennsylvania,12178,1335,83,11,0.7,1763,93,14.5,0.8,1.09,-0.000471,5282
Rhode Island,1042,132,14,12.7,1.3,166,15,16,1.4,0.3,-0.001536,5282
South Carolina,4462,624,55,14,1.2,852,62,19.1,1.4,1.06,-0.001267,5282
South Dakota,794,104,9,13.1,1.1,132,10,16.6,1.3,0.17,-0.001134,5282
Tennessee,6163,924,67,15,1.1,1339,77,21.7,1.3,1.08,-0.000926,5282
Texas,24174,3834,148,15.9,0.6,5380,168,22.3,0.7,1.28,-0.00028,5282
Utah,2754,209,23,7.6,0.9,297,27,10.8,1,0.54,-0.001036,5282
Vermont,610,55,7,9,1.1,75,8,12.4,1.3,0.18,-0.001545,5282
Virginia,7735,799,64,10.3,0.8,1093,73,14.1,0.9,1.08,-0.000752,5282
Washington,6526,680,61,10.4,0.9,840,67,12.9,1,1.15,-0.000934,5282
West Virginia,1796,260,21,14.5,1.2,369,25,20.5,1.4,0.39,-0.00115,5282
Wisconsin,5548,544,53,9.8,1,757,62,13.6,1.1,1.1,-0.001044,5282
Wyoming,529,54,6,10.1,1.2,71,7,13.4,1.3,0.15,-0.001495,5282
